id,object_id,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,rsrv_type_nm,content_type_id
11999,457,단리,12,2.55,3.6,0.0,4
12000,458,단리,1,2.6,2.6,0.0,4
12001,458,단리,3,3.1,3.1,0.0,4
12002,458,단리,6,3.2,3.2,0.0,4
12003,458,단리,12,3.1,3.1,0.0,4
12004,458,단리,24,2.8,2.8,0.0,4
12005,458,단리,36,2.8,2.8,0.0,4
12006,459,단리,3,3.0,3.0,0.0,4
12007,459,단리,6,3.0,3.0,0.0,4
12008,460,단리,1,1.0,1.0,0.0,4
12009,460,단리,3,1.3,1.3,0.0,4
12010,460,단리,6,2.9,2.9,0.0,4
12011,460,단리,12,3.6,3.6,0.0,4
12012,460,단리,24,3.35,3.35,0.0,4
12013,460,단리,36,3.25,3.25,0.0,4
12014,460,복리,1,1.0,1.0,0.0,4
12015,460,복리,3,1.3,1.3,0.0,4
12016,460,복리,6,2.9,2.9,0.0,4
12017,460,복리,12,3.6,3.6,0.0,4
12018,460,복리,24,3.35,3.35,0.0,4
12019,460,복리,36,3.25,3.25,0.0,4
12020,461,단리,12,3.65,3.65,0.0,4
12021,461,단리,24,3.65,3.65,0.0,4
12022,461,단리,36,3.65,3.65,0.0,4
12023,461,복리,12,3.65,3.65,0.0,4
12024,461,복리,24,3.65,3.65,0.0,4
12025,461,복리,36,3.65,3.65,0.0,4
12026,462,단리,12,3.55,3.6,0.0,4
12027,462,복리,12,3.55,3.6,0.0,4
12028,463,단리,12,3.65,3.65,0.0,4
12029,463,단리,24,3.65,3.65,0.0,4
12030,463,단리,36,3.65,3.65,0.0,4
12031,463,복리,12,3.65,3.65,0.0,4
12032,463,복리,24,3.65,3.65,0.0,4
12033,463,복리,36,3.65,3.65,0.0,4
12034,464,단리,12,3.7,3.7,0.0,4
12035,464,복리,12,3.7,3.7,0.0,4
12036,465,단리,12,3.7,3.7,0.0,4
12037,465,복리,12,3.7,3.7,0.0,4
12038,466,복리,12,3.75,3.85,0.0,4
12039,467,단리,12,3.45,3.8,0.0,4
12040,467,단리,24,3.15,3.5,0.0,4
12041,467,복리,12,3.45,3.8,0.0,4
12042,467,복리,24,3.15,3.5,0.0,4
12043,468,단리,1,1.2,1.2,0.0,4
12044,468,단리,3,1.9,1.9,0.0,4
12045,468,단리,6,3.9,3.9,0.0,4
12046,468,단리,12,3.2,3.2,0.0,4
12047,468,단리,24,3.2,3.2,0.0,4
12048,468,단리,36,3.2,3.2,0.0,4
12049,468,복리,1,1.2,1.2,0.0,4
12050,468,복리,3,1.9,1.9,0.0,4
12051,468,복리,6,3.9,3.9,0.0,4
12052,468,복리,12,3.2,3.2,0.0,4
12053,468,복리,24,3.2,3.2,0.0,4
12054,468,복리,36,3.2,3.2,0.0,4
12055,469,단리,1,1.2,1.2,0.0,4
12056,469,단리,3,1.9,1.9,0.0,4
12057,469,단리,6,3.9,3.9,0.0,4
12058,469,단리,12,3.2,3.2,0.0,4
12059,469,단리,24,3.2,3.2,0.0,4
12060,469,단리,36,3.2,3.2,0.0,4
12061,469,복리,1,1.2,1.2,0.0,4
12062,469,복리,3,1.9,1.9,0.0,4
12063,469,복리,6,3.9,3.9,0.0,4
12064,469,복리,12,3.2,3.2,0.0,4
12065,469,복리,24,3.2,3.2,0.0,4
12066,469,복리,36,3.2,3.2,0.0,4
12067,470,단리,36,3.2,3.2,0.0,4
12068,470,복리,36,3.2,3.2,0.0,4
12069,471,단리,36,3.2,3.2,0.0,4
12070,471,복리,36,3.2,3.2,0.0,4
12071,472,단리,1,1.3,1.3,0.0,4
12072,472,단리,3,2.0,2.0,0.0,4
12073,472,단리,6,2.3,2.3,0.0,4
12074,472,단리,12,3.5,3.5,0.0,4
12075,472,단리,24,3.1,3.1,0.0,4
12076,472,복리,1,1.3,1.3,0.0,4
12077,472,복리,3,2.0,2.0,0.0,4
12078,472,복리,6,2.3,2.3,0.0,4
12079,472,복리,12,3.5,3.5,0.0,4
12080,472,복리,24,3.1,3.1,0.0,4
12081,473,단리,1,1.3,1.3,0.0,4
12082,473,단리,3,2.0,2.0,0.0,4
12083,473,단리,6,2.3,2.3,0.0,4
12084,473,단리,12,3.5,3.5,0.0,4
12085,473,단리,24,3.1,3.1,0.0,4
12086,473,단리,36,3.1,3.1,0.0,4
12087,473,복리,1,1.3,1.3,0.0,4
12088,473,복리,3,2.0,2.0,0.0,4
12089,473,복리,6,2.3,2.3,0.0,4
12090,473,복리,12,3.5,3.5,0.0,4
12091,473,복리,24,3.1,3.1,0.0,4
12092,473,복리,36,3.1,3.1,0.0,4
12093,473,단리,1,2.0,2.0,0.0,4
12094,473,단리,3,2.2,2.2,0.0,4
12095,473,단리,6,3.6,3.6,0.0,4
12096,473,단리,12,3.6,3.6,0.0,4
12097,473,단리,24,3.6,3.6,0.0,4
12098,473,복리,1,2.0,2.0,0.0,4
12099,473,복리,3,2.2,2.2,0.0,4
12100,473,복리,6,3.6,3.6,0.0,4
12101,473,복리,12,3.6,3.6,0.0,4
12102,473,복리,24,3.6,3.6,0.0,4
12103,474,단리,12,3.6,3.6,0.0,4
12104,474,복리,12,3.6,3.6,0.0,4
12105,475,단리,12,3.6,3.6,0.0,4
12106,475,복리,12,3.6,3.6,0.0,4
12107,476,단리,12,3.6,3.6,0.0,4
12108,476,복리,12,3.6,3.6,0.0,4
12109,477,단리,1,1.3,1.3,0.0,4
12110,477,단리,3,2.0,2.0,0.0,4
12111,477,단리,6,2.3,2.3,0.0,4
12112,477,단리,12,3.5,3.5,0.0,4
